id,name,firstname,lastname,age,date,place,country,nationality,height,weight,photo,id_1,name_1,logo,id_2,name_2,logo_1,start,end
19,O. Solskjær,Ole Gunnar,Solskjær,51,1973-02-26,Kristiansund,Norway,Norway,,,https://media.api-sports.io/football/coachs/19.png,33,Manchester United,https://media.api-sports.io/football/teams/33.png,33,Manchester United,https://media.api-sports.io/football/teams/33.png,2018-12-01,2021-11-01
19,O. Solskjær,Ole Gunnar,Solskjær,51,1973-02-26,Kristiansund,Norway,Norway,,,https://media.api-sports.io/football/coachs/19.png,33,Manchester United,https://media.api-sports.io/football/teams/33.png,329,Molde,https://media.api-sports.io/football/teams/329.png,2015-10-01,2018-12-01
19,O. Solskjær,Ole Gunnar,Solskjær,51,1973-02-26,Kristiansund,Norway,Norway,,,https://media.api-sports.io/football/coachs/19.png,33,Manchester United,https://media.api-sports.io/football/teams/33.png,43,Cardiff City,https://media.api-sports.io/football/teams/43.png,2014-01-01,2014-09-01
19,O. Solskjær,Ole Gunnar,Solskjær,51,1973-02-26,Kristiansund,Norway,Norway,,,https://media.api-sports.io/football/coachs/19.png,33,Manchester United,https://media.api-sports.io/football/teams/33.png,329,Molde,https://media.api-sports.io/football/teams/329.png,2010-11-01,2014-01-01
1993,E. ten Hag,Erik,ten Hag,54,1970-02-02,Haaksbergen,Netherlands,Netherlands,,,https://media.api-sports.io/football/coachs/1993.png,33,Manchester United,https://media.api-sports.io/football/teams/33.png,33,Manchester United,https://media.api-sports.io/football/teams/33.png,2022-06-01,
1993,E. ten Hag,Erik,ten Hag,54,1970-02-02,Haaksbergen,Netherlands,Netherlands,,,https://media.api-sports.io/football/coachs/1993.png,33,Manchester United,https://media.api-sports.io/football/teams/33.png,194,Ajax,https://media.api-sports.io/football/teams/194.png,2018-01-01,2022-05-01
1993,E. ten Hag,Erik,ten Hag,54,1970-02-02,Haaksbergen,Netherlands,Netherlands,,,https://media.api-sports.io/football/coachs/1993.png,33,Manchester United,https://media.api-sports.io/football/teams/33.png,207,Utrecht,https://media.api-sports.io/football/teams/207.png,2015-07-01,2017-12-01
1993,E. ten Hag,Erik,ten Hag,54,1970-02-02,Haaksbergen,Netherlands,Netherlands,,,https://media.api-sports.io/football/coachs/1993.png,33,Manchester United,https://media.api-sports.io/football/teams/33.png,4674,Bayern München II,https://media.api-sports.io/football/teams/4674.png,2013-06-01,2015-07-01
1993,E. ten Hag,Erik,ten Hag,54,1970-02-02,Haaksbergen,Netherlands,Netherlands,,,https://media.api-sports.io/football/coachs/1993.png,33,Manchester United,https://media.api-sports.io/football/teams/33.png,410,Go Ahead Eagles,https://media.api-sports.io/football/teams/410.png,2012-07-01,2013-06-01
